"DateTime","USA"
"2020-03-02 23:51:40",7
"2020-03-17 23:51:40",5
"2020-03-23 23:51:40",11
"2020-03-30 23:51:40",17
"2020-04-06 23:51:40",29
"2020-04-13 23:51:40",49
"2020-04-20 23:51:40",58
"2020-04-27 23:51:40",63
"2020-05-26 23:51:40",68
"2020-06-01 23:51:40",69
"2020-06-08 23:51:40",66
"2020-06-15 23:51:40",69
"2020-06-22 23:51:40",71
"2020-07-06 23:51:40",73
"2020-07-14 23:51:40",78
"2020-07-20 23:51:40",74
"2020-07-27 23:51:40",77
"2020-08-03 23:51:40",75
"2020-08-10 23:51:40",81
"2020-08-17 23:51:40",77
"2020-08-25 23:51:40",77
"2020-09-01 23:51:40",79
"2020-09-08 23:51:40",75
"2020-09-14 23:51:40",77
"2020-09-21 23:51:40",76
"2020-09-28 23:51:40",78
"2020-10-06 23:51:40",77
"2020-10-12 23:51:40",79
